time,AERONET_Site,Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty.1,AOD_Empty.2,AOD_Empty.3,AOD_Empty.4,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty].1,N[AOD_Empty].2,N[AOD_Empty].3,N[AOD_Empty].4,N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)_
2010-10-12 12:00:00,Sao_Paulo,285.0,-999.0,0.053684,0.06166,-999.0,-999.0,0.071906,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.099469,-999.0,-999.0,0.121822,-999.0,-999.0,0.142544,0.166815,0.830675,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.00707,1.242316,1.220219,0.8557,1.199242,-999.0,0.0,13.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,12.0,13.0,0.0,lev20,624.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
2010-10-13 12:00:00,Sao_Paulo,286.0,-999.0,0.083513,0.099002,-999.0,-999.0,0.128913,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.195643,-999.0,-999.0,0.239659,-999.0,-999.0,0.287358,0.327732,1.395453,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.297417,1.379646,1.441777,1.240635,1.234843,-999.0,0.0,19.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,0.0,lev20,624.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
2010-10-14 12:00:00,Sao_Paulo,287.0,-999.0,0.196527,0.264021,-999.0,-999.0,0.412271,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.676282,-999.0,-999.0,0.828402,-999.0,-999.0,0.99914,1.121773,3.012284,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.68095,1.395717,1.639842,1.720065,1.196896,-999.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,lev20,624.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
2010-10-16 12:00:00,Sao_Paulo,289.0,-999.0,0.165352,0.21352,-999.0,-999.0,0.31229,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.481589,-999.0,-999.0,0.571732,-999.0,-999.0,0.683537,0.755566,2.913485,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.444699,1.248551,1.416228,1.480946,1.097105,-999.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,lev20,624.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
2010-10-17 12:00:00,Sao_Paulo,290.0,-999.0,0.274692,0.356166,-999.0,-999.0,0.516165,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.756076,-999.0,-999.0,0.875544,-999.0,-999.0,0.996434,1.086506,3.218981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.328039,0.989498,1.25081,1.382184,0.850753,-999.0,0.0,11.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,13.0,0.0,lev20,624.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
2010-10-21 12:00:00,Sao_Paulo,294.0,-999.0,0.156169,0.199181,-999.0,-999.0,0.286171,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.441835,-999.0,-999.0,0.533807,-999.0,-999.0,0.63132,0.70783,1.606014,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.44503,1.268582,1.456709,1.453422,1.100151,-999.0,0.0,37.0,38.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,38.0,0.0,0.0,38.0,34.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,38.0,38.0,38.0,0.0,lev20,624.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
2010-10-22 12:00:00,Sao_Paulo,295.0,-999.0,0.140554,0.180432,-999.0,-999.0,0.253254,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.383126,-999.0,-999.0,0.458775,-999.0,-999.0,0.543197,0.600553,1.788694,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.372266,1.237765,1.386731,1.379763,1.045861,-999.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,lev20,624.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
2010-10-25 12:00:00,Sao_Paulo,298.0,-999.0,0.103212,0.129015,-999.0,-999.0,0.178276,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.271297,-999.0,-999.0,0.330083,-999.0,-999.0,0.387339,0.42883,1.932739,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.366957,1.258217,1.442729,1.339271,0.994921,-999.0,0.0,18.0,22.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,22.0,0.0,lev20,624.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
2010-10-26 12:00:00,Sao_Paulo,299.0,-999.0,0.08413,0.109772,-999.0,-999.0,0.155839,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.239273,-999.0,-999.0,0.284767,-999.0,-999.0,0.333787,0.371986,2.342585,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.403065,1.189991,1.413048,1.421999,1.050346,-999.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,lev20,624.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
2010-10-27 12:00:00,Sao_Paulo,300.0,-999.0,0.126352,0.153196,-999.0,-999.0,0.212391,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.322007,-999.0,-999.0,0.386271,-999.0,-999.0,0.452944,0.506644,1.573963,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.349053,1.198739,1.388526,1.347251,1.036743,-999.0,0.0,12.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,0.0,lev20,624.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
