<html> <head>  <title>AERONET Data Download (Version 3 Direct Sun)</title><h2>AERONET Data Download (Version 3 Direct Sun)</h2>
</head>
<body bgcolor= "#FFFFFF" 
><strong>AERONET Version 3<br>
</strong>Version 3: AOD Level 2.0<br>
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.<br>
Contact: PI=Paulo_Artaxo; PI Email=artaxo@if.usp.br<br>
AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)<br>
Sao_Paulo,12:10:2010,12:00:00,285,-999.,0.053684,0.061660,-999.,-999.,0.071906,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.099469,-999.,-999.,0.121822,-999.,-999.,0.142544,0.166815,0.830675,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.007070,1.242316,1.220219,0.855700,1.199242,-999.,0,13,12,0,0,12,0,0,0,0,0,0,0,0,13,0,0,13,0,0,13,13,13,0,0,0,0,0,0,0,13,13,13,12,13,0,lev20,624,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,13:10:2010,12:00:00,286,-999.,0.083513,0.099002,-999.,-999.,0.128913,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.195643,-999.,-999.,0.239659,-999.,-999.,0.287358,0.327732,1.395453,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.297417,1.379646,1.441777,1.240635,1.234843,-999.,0,19,19,0,0,19,0,0,0,0,0,0,0,0,19,0,0,19,0,0,19,19,19,0,0,0,0,0,0,0,19,19,19,19,19,0,lev20,624,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,14:10:2010,12:00:00,287,-999.,0.196527,0.264021,-999.,-999.,0.412271,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.676282,-999.,-999.,0.828402,-999.,-999.,0.999140,1.121773,3.012284,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.680950,1.395717,1.639842,1.720065,1.196896,-999.,0,5,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,5,5,5,5,5,0,lev20,624,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,16:10:2010,12:00:00,289,-999.,0.165352,0.213520,-999.,-999.,0.312290,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.481589,-999.,-999.,0.571732,-999.,-999.,0.683537,0.755566,2.913485,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.444699,1.248551,1.416228,1.480946,1.097105,-999.,0,5,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,5,5,5,5,5,0,lev20,624,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,17:10:2010,12:00:00,290,-999.,0.274692,0.356166,-999.,-999.,0.516165,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.756076,-999.,-999.,0.875544,-999.,-999.,0.996434,1.086506,3.218981,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.328039,0.989498,1.250810,1.382184,0.850753,-999.,0,11,13,0,0,13,0,0,0,0,0,0,0,0,13,0,0,13,0,0,13,13,13,0,0,0,0,0,0,0,13,13,13,13,13,0,lev20,624,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,21:10:2010,12:00:00,294,-999.,0.156169,0.199181,-999.,-999.,0.286171,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.441835,-999.,-999.,0.533807,-999.,-999.,0.631320,0.707830,1.606014,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.445030,1.268582,1.456709,1.453422,1.100151,-999.,0,37,38,0,0,38,0,0,0,0,0,0,0,0,38,0,0,38,0,0,38,34,38,0,0,0,0,0,0,0,38,38,38,38,38,0,lev20,624,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,22:10:2010,12:00:00,295,-999.,0.140554,0.180432,-999.,-999.,0.253254,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.383126,-999.,-999.,0.458775,-999.,-999.,0.543197,0.600553,1.788694,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.372266,1.237765,1.386731,1.379763,1.045861,-999.,0,10,10,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,10,10,0,0,0,0,0,0,0,10,10,10,10,10,0,lev20,624,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,25:10:2010,12:00:00,298,-999.,0.103212,0.129015,-999.,-999.,0.178276,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.271297,-999.,-999.,0.330083,-999.,-999.,0.387339,0.428830,1.932739,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.366957,1.258217,1.442729,1.339271,0.994921,-999.,0,18,22,0,0,22,0,0,0,0,0,0,0,0,22,0,0,22,0,0,22,22,22,0,0,0,0,0,0,0,22,22,22,22,22,0,lev20,624,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,26:10:2010,12:00:00,299,-999.,0.084130,0.109772,-999.,-999.,0.155839,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.239273,-999.,-999.,0.284767,-999.,-999.,0.333787,0.371986,2.342585,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.403065,1.189991,1.413048,1.421999,1.050346,-999.,0,4,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,4,4,0,0,0,0,0,0,0,4,4,4,4,4,0,lev20,624,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,27:10:2010,12:00:00,300,-999.,0.126352,0.153196,-999.,-999.,0.212391,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.322007,-999.,-999.,0.386271,-999.,-999.,0.452944,0.506644,1.573963,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.349053,1.198739,1.388526,1.347251,1.036743,-999.,0,12,14,0,0,14,0,0,0,0,0,0,0,0,14,0,0,14,0,0,14,14,14,0,0,0,0,0,0,0,14,14,14,14,14,0,lev20,624,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
